Time,ObjectVelocity,ObjectPosition,TargetPosition
0,0.7484542,0.02912458,1
0.03333334,0.5523925,0.05079425,0.9666666
0.06666667,0.3987882,0.06664036,0.9333333
0.1,0.2776875,0.07791147,0.8999999
0.1333333,0.1814852,0.08556362,0.8666666
0.1666667,0.1043696,0.09032946,0.8333332
0.2,0.04189942,0.09277081,0.7999998
0.2333333,-0.009319234,0.09331901,0.7666665
0.2666667,-0.05188051,0.09230565,0.7333331
0.3,-0.08776736,0.0899861,0.6999997
0.3333333,-0.1184958,0.08655745,0.6666664
0.3666667,-0.1452249,0.08217221,0.633333
0.4,-0.1688416,0.07694884,0.5999997
0.4333334,-0.190024,0.07097968,0.5666663
0.4666667,-0.2092916,0.06433722,0.5333329
0.5,-0.227042,0.05707859,0.4999996
0.5333334,-0.24358,0.04924925,0.4666663
0.5666667,-0.2591393,0.04088565,0.4333329
0.6,-0.2738996,0.03201746,0.3999996
0.6333334,-0.2879988,0.02266896,0.3666663
0.6666667,-0.3015433,0.01286038,0.333333
0.7,-0.3146153,0.002608849,0.2999996
0.7333333,-0.3272784,-0.008070991,0.2666663
0.7666667,-0.339582,-0.01916633,0.233333
0.8000001,-0.3515646,-0.03066581,0.1999996
0.8333334,-0.3632568,-0.0425593,0.1666663
0.8666667,-0.3746822,-0.0548375,0.133333
0.9,-0.3858601,-0.06749185,0.09999964
0.9333334,-0.3968058,-0.08051439,0.06666631
0.9666667,-0.4075318,-0.09389754,0.03333297
1,-0.4180483,-0.1076342,-3.650784E-07
1.033333,-0.4283639,-0.1217176,-0.0333337
1.066667,-0.438486,-0.1361411,-0.06666704
1.1,-0.4484208,-0.1508984,-0.1000004
1.133333,-0.4581738,-0.1659832,-0.1333337
1.166667,-0.4677498,-0.1813897,-0.166667
1.2,-0.4771532,-0.1971121,-0.2000004
1.233333,-0.4863881,-0.2131447,-0.2333337
1.266667,-0.4954581,-0.2294819,-0.266667
1.3,-0.5043668,-0.2461182,-0.3000004
1.333333,-0.5131173,-0.2630485,-0.3333337
1.366667,-0.5217128,-0.2802674,-0.366667
1.4,-0.5301563,-0.2977699,-0.4000004
1.433333,-0.5384506,-0.3155509,-0.4333337
1.466667,-0.5465986,-0.3336055,-0.466667
1.5,-0.5546029,-0.3519289,-0.5000004
1.533333,-0.5624661,-0.3705164,-0.5333337
1.566667,-0.5701908,-0.3893633,-0.5666671
1.6,-0.5777795,-0.408465,-0.6000004
1.633333,-0.5852346,-0.4278171,-0.6333338
1.666667,-0.5925584,-0.4474151,-0.6666672
1.7,-0.5997533,-0.4672547,-0.7000005
1.733333,-0.6068217,-0.4873317,-0.7333339
1.766667,-0.6137656,-0.5076419,-0.7666672
1.8,-0.6205873,-0.5281811,-0.8000006
1.833333,-0.6272891,-0.5489454,-0.833334
1.866667,-0.633873,-0.5699308,-0.8666673
1.9,-0.640341,-0.5911334,-0.9000007
1.933333,-0.6466952,-0.6125493,-0.9333341
1.966667,-0.6529377,-0.6341749,-0.9666674
2,-0.6590703,-0.6560064,-1.000001
2.033334,-0.6650951,-0.6780402,-1.033334
2.066667,-0.6710139,-0.7002728,-1.066667
2.1,-0.6768286,-0.7227007,-1.100001
2.133333,-0.682541,-0.7453203,-1.133334
2.166667,-0.6881528,-0.7681285,-1.166667
2.2,-0.693666,-0.7911217,-1.200001
2.233333,-0.6990823,-0.8142969,-1.233334
2.266667,-0.7044032,-0.8376507,-1.266667
2.3,-0.7096305,-0.8611801,-1.3
2.333333,-0.7147659,-0.8848819,-1.333334
2.366667,-0.719811,-0.9087532,-1.366667
2.4,-0.7247673,-0.9327908,-1.4
2.433333,-0.7296364,-0.956992,-1.433334
2.466667,-0.7344199,-0.9813538,-1.466667
2.5,-0.7391193,-1.005873,-1.5
2.533334,-0.743736,-1.030548,-1.533334
2.566667,-0.7482714,-1.055375,-1.566667
2.6,-0.7527271,-1.080352,-1.6
2.633333,-0.7571044,-1.105475,-1.633333
2.666667,-0.7614047,-1.130743,-1.666667
2.7,-0.7656294,-1.156153,-1.7
2.733334,-0.7697797,-1.181702,-1.733333
2.766667,-0.7738571,-1.207388,-1.766667
2.8,-0.7778628,-1.233209,-1.8
2.833333,-0.781798,-1.259162,-1.833333
2.866667,-0.785664,-1.285244,-1.866667
2.9,-0.789462,-1.311455,-1.9
2.933333,-0.7931932,-1.33779,-1.933333
2.966667,-0.7968587,-1.364249,-1.966666
3,-0.8004597,-1.390828,-2
3.033334,-0.8039975,-1.417526,-2.033333
3.066667,-0.8074729,-1.444341,-2.066666
3.1,-0.8108873,-1.471271,-2.1
3.133333,-0.8142416,-1.498313,-2.133333
3.166667,-0.8175369,-1.525466,-2.166666
3.2,-0.8207743,-1.552728,-2.2
3.233334,-0.8239546,-1.580096,-2.233333
3.266667,-0.8270791,-1.607569,-2.266666
3.3,-0.8301486,-1.635146,-2.299999
3.333333,-0.8331641,-1.662824,-2.333333
3.366667,-0.8361266,-1.690601,-2.366666
3.4,-0.8390369,-1.718476,-2.399999
3.433333,-0.841896,-1.746447,-2.433333
3.466667,-0.8447049,-1.774512,-2.466666
3.5,-0.8474643,-1.80267,-2.499999
3.533334,-0.8501753,-1.830919,-2.533333
3.566667,-0.8528385,-1.859257,-2.566666
3.6,-0.8554549,-1.887684,-2.599999
3.633333,-0.8580252,-1.916196,-2.633332
3.666667,-0.8605503,-1.944793,-2.666666
3.7,-0.8630311,-1.973474,-2.699999
3.733334,-0.8654681,-2.002237,-2.733332
3.766667,-0.8678623,-2.03108,-2.766666
3.8,-0.8702145,-2.060001,-2.799999
3.833333,-0.8725252,-2.089001,-2.833332
3.866667,-0.8747953,-2.118077,-2.866666
3.9,-0.8770255,-2.147227,-2.899999
3.933334,-0.8792164,-2.176451,-2.933332
3.966667,-0.8813688,-2.205748,-2.966666
4,-0.8834834,-2.235115,-2.999999
